config,baseline,steps,normalization,intervention,success_ratio,required_success_fraction,target_component_count,target_lower_pass,target_upper_pass,target_lower_fail_below,target_upper_fail_above,target_left_censored,target_right_censored,target_log10_width,target_lr_points
jordan_quintic:steps=1:current_plus_eps:unrepaired,jordan_quintic,1,current_plus_eps,unrepaired,0.001,0.75,1,0.022239737437781862,0.5204870989490936,0.01866631227985865,0.620127652791432,False,False,1.3692803136799157,19
jordan_quintic:steps=1:current_plus_eps:unrepaired,jordan_quintic,1,current_plus_eps,unrepaired,0.001,0.9,1,0.06361454523915885,0.5204870989490936,0.05339311987371051,0.620127652791432,False,False,0.9128535424532772,13
jordan_quintic:steps=1:current_plus_eps:unrepaired,jordan_quintic,1,current_plus_eps,unrepaired,0.001,1.0,1,0.06361454523915885,0.5204870989490936,0.05339311987371051,0.620127652791432,False,False,0.9128535424532772,13
jordan_quintic:steps=1:current_plus_eps:unrepaired,jordan_quintic,1,current_plus_eps,unrepaired,0.0001,0.75,1,0.026497248834477422,0.5204870989490936,0.022239737437781862,0.620127652791432,False,False,1.2932091851421426,18
jordan_quintic:steps=1:current_plus_eps:unrepaired,jordan_quintic,1,current_plus_eps,unrepaired,0.0001,0.9,1,0.07579273089036216,0.5204870989490936,0.06361454523915885,0.620127652791432,False,False,0.836782413915504,12
jordan_quintic:steps=1:current_plus_eps:unrepaired,jordan_quintic,1,current_plus_eps,unrepaired,0.0001,1.0,1,0.07579273089036216,0.5204870989490936,0.06361454523915885,0.620127652791432,False,False,0.836782413915504,12
jordan_quintic:steps=1:current_plus_eps:unrepaired,jordan_quintic,1,current_plus_eps,unrepaired,1e-05,0.75,1,0.031569805972774166,0.5204870989490936,0.026497248834477422,0.620127652791432,False,False,1.2171380566043695,17
jordan_quintic:steps=1:current_plus_eps:unrepaired,jordan_quintic,1,current_plus_eps,unrepaired,1e-05,0.9,1,0.09030227339081447,0.5204870989490936,0.07579273089036216,0.620127652791432,False,False,0.760711285377731,11
jordan_quintic:steps=1:current_plus_eps:unrepaired,jordan_quintic,1,current_plus_eps,unrepaired,1e-05,1.0,1,0.09030227339081447,0.5204870989490936,0.07579273089036216,0.620127652791432,False,False,0.760711285377731,11
jordan_quintic:steps=1:current_plus_eps:raw_grid_repair_1.02x,jordan_quintic,1,current_plus_eps,raw_grid_repair_1.02x,0.001,0.75,1,0.022239737437781862,0.5204870989490936,0.01866631227985865,0.620127652791432,False,False,1.3692803136799157,19
jordan_quintic:steps=1:current_plus_eps:raw_grid_repair_1.02x,jordan_quintic,1,current_plus_eps,raw_grid_repair_1.02x,0.001,0.9,1,0.05339311987371051,0.5204870989490936,0.04481404746557166,0.620127652791432,False,False,0.9889246709910502,14
