baseline,steps,horizon,hold_iterations,target_ratio,required_problem_fraction,intervention,repair_rho_inside_scale,output_scale,effective_zero_slope_gain,target_component_count,target_lower_pass,target_upper_pass,target_lower_fail_below,target_upper_fail_above,target_log10_width
jordan_quintic,5,750,50,0.0001,0.9,unrepaired,0.0,1.0,484.87628710018294,0,,,,,0.0
jordan_quintic,5,750,50,1e-08,0.9,unrepaired,0.0,1.0,484.87628710018294,0,,,,,0.0
jordan_quintic,5,750,50,0.0001,0.9,raw_grid_repair_1.02x,161.11811947965697,1.0,645.99440657984,1,0.0011321930132219959,0.0065257698923257895,0.0009502750832828064,0.007775044519174121,0.7607112853777309
jordan_quintic,5,750,50,1e-08,0.9,raw_grid_repair_1.02x,161.11811947965697,1.0,645.99440657984,1,0.0016071733693414447,0.0027181668598497987,0.0013489367886616623,0.0032385249088738217,0.22821338561331928
jordan_quintic,5,750,50,0.0001,0.9,gain_matched_grid_repair_1.02x,161.11811947965697,0.7505889867798041,484.8762871001829,1,0.0016071733693414447,0.00926347668896959,0.0013489367886616623,0.011036850034165217,0.7607112853777309
jordan_quintic,5,750,50,1e-08,0.9,gain_matched_grid_repair_1.02x,161.11811947965697,0.7505889867798041,484.8762871001829,1,0.0019148460186062853,0.003858498806793542,0.0016071733693414447,0.004597158725329799,0.3042845141510924
jordan_quintic,5,750,50,0.0001,0.9,gain_only_unrepaired_control,0.0,1.3322870673738836,645.99440657984,0,,,,,0.0
jordan_quintic,5,750,50,1e-08,0.9,gain_only_unrepaired_control,0.0,1.3322870673738836,645.99440657984,0,,,,,0.0
jordan_quintic,5,3000,50,0.0001,0.9,unrepaired,0.0,1.0,484.87628710018294,1,0.007775044519174121,0.007775044519174121,0.0065257698923257895,0.00926347668896959,0.0
jordan_quintic,5,3000,50,1e-08,0.9,unrepaired,0.0,1.0,484.87628710018294,0,,,,,0.0
jordan_quintic,5,3000,50,0.0001,0.9,raw_grid_repair_1.02x,161.11811947965697,1.0,645.99440657984,1,0.0002788376681722561,0.0065257698923257895,0.0002340347319320716,0.007775044519174121,1.3692803136799157
jordan_quintic,5,3000,50,1e-08,0.9,raw_grid_repair_1.02x,161.11811947965697,1.0,645.99440657984,1,0.0003958163223251114,0.0027181668598497987,0.0003322175497195357,0.0032385249088738217,0.836782413915504
jordan_quintic,5,3000,50,0.0001,0.9,gain_matched_grid_repair_1.02x,161.11811947965697,0.7505889867798041,484.8762871001829,1,0.0003958163223251114,0.00926347668896959,0.0003322175497195357,0.011036850034165217,1.3692803136799157
jordan_quintic,5,3000,50,1e-08,0.9,gain_matched_grid_repair_1.02x,161.11811947965697,0.7505889867798041,484.8762871001829,1,0.0004715902611142629,0.003858498806793542,0.0003958163223251114,0.004597158725329799,0.9128535424532771
jordan_quintic,5,3000,50,0.0001,0.9,gain_only_unrepaired_control,0.0,1.3322870673738836,645.99440657984,1,0.0065257698923257895,0.0065257698923257895,0.005477225575051662,0.007775044519174121,0.0
jordan_quintic,5,3000,50,1e-08,0.9,gain_only_unrepaired_control,0.0,1.3322870673738836,645.99440657984,0,,,,,0.0
classical_cubic,5,750,50,0.0001,0.9,unrepaired,0.0,1.0,7.59375,1,0.04481404746557166,0.2583006239120332,0.037613438866218936,0.30774895274935143,0.7607112853777309
classical_cubic,5,750,50,1e-08,0.9,unrepaired,0.0,1.0,7.59375,1,0.07579273089036216,0.2583006239120332,0.06361454523915885,0.30774895274935143,0.5324978997644116
classical_cubic,5,750,50,0.0001,0.9,raw_grid_repair_1.02x,0.007623366300837216,1.0,7.601373366300837,1,0.04481404746557166,0.2583006239120332,0.037613438866218936,0.30774895274935143,0.7607112853777309
classical_cubic,5,750,50,1e-08,0.9,raw_grid_repair_1.02x,0.007623366300837216,1.0,7.601373366300837,1,0.07579273089036216,0.2583006239120332,0.06361454523915885,0.30774895274935143,0.5324978997644116
classical_cubic,5,750,50,0.0001,0.9,gain_matched_grid_repair_1.02x,0.007623366300837216,0.9989971067156582,7.59375,1,0.04481404746557166,0.2583006239120332,0.037613438866218936,0.30774895274935143,0.7607112853777309
classical_cubic,5,750,50,1e-08,0.9,gain_matched_grid_repair_1.02x,0.007623366300837216,0.9989971067156582,7.59375,1,0.07579273089036216,0.2583006239120332,0.06361454523915885,0.30774895274935143,0.5324978997644116
classical_cubic,5,750,50,0.0001,0.9,gain_only_unrepaired_control,0.0,1.0010039000889992,7.601373366300837,1,0.04481404746557166,0.2583006239120332,0.037613438866218936,0.30774895274935143,0.7607112853777309
classical_cubic,5,750,50,1e-08,0.9,gain_only_unrepaired_control,0.0,1.0010039000889992,7.601373366300837,1,0.07579273089036216,0.2583006239120332,0.06361454523915885,0.30774895274935143,0.5324978997644116
classical_cubic,5,3000,50,0.0001,0.9,unrepaired,0.0,1.0,7.59375,1,0.011036850034165217,0.2583006239120332,0.00926347668896959,0.30774895274935143,1.3692803136799157
classical_cubic,5,3000,50,1e-08,0.9,unrepaired,0.0,1.0,7.59375,1,0.01866631227985865,0.2583006239120332,0.015667056101897645,0.30774895274935143,1.1410669280665964
classical_cubic,5,3000,50,0.0001,0.9,raw_grid_repair_1.02x,0.007623366300837216,1.0,7.601373366300837,1,0.011036850034165217,0.2583006239120332,0.00926347668896959,0.30774895274935143,1.3692803136799157
classical_cubic,5,3000,50,1e-08,0.9,raw_grid_repair_1.02x,0.007623366300837216,1.0,7.601373366300837,1,0.01866631227985865,0.2583006239120332,0.015667056101897645,0.30774895274935143,1.1410669280665964
classical_cubic,5,3000,50,0.0001,0.9,gain_matched_grid_repair_1.02x,0.007623366300837216,0.9989971067156582,7.59375,1,0.011036850034165217,0.2583006239120332,0.00926347668896959,0.30774895274935143,1.3692803136799157
classical_cubic,5,3000,50,1e-08,0.9,gain_matched_grid_repair_1.02x,0.007623366300837216,0.9989971067156582,7.59375,1,0.01866631227985865,0.2583006239120332,0.015667056101897645,0.30774895274935143,1.1410669280665964
classical_cubic,5,3000,50,0.0001,0.9,gain_only_unrepaired_control,0.0,1.0010039000889992,7.601373366300837,1,0.011036850034165217,0.2583006239120332,0.00926347668896959,0.30774895274935143,1.3692803136799157
classical_cubic,5,3000,50,1e-08,0.9,gain_only_unrepaired_control,0.0,1.0010039000889992,7.601373366300837,1,0.01866631227985865,0.2583006239120332,0.015667056101897645,0.30774895274935143,1.1410669280665964
