config,baseline,steps,normalization,intervention,gain_group,repair_rho_inside_scale,output_scale,base_zero_slope_gain,effective_zero_slope_gain,analytic_local_lr_ceiling,measured_eps1_diagonal_deficit_lower_bound,measured_eps1_full_deficit_lower_bound_out_of_subspace,sampled_diagonal_residual_after_scaled_shift,target_component_count,target_lower_pass,target_upper_pass,target_lower_fail_below,target_upper_fail_above,target_left_censored,target_right_censored,target_log10_width,target_lr_points,bounded_prefix_upper_pass,bounded_prefix_upper_fail,bounded_prefix_right_censored,bounded_prefix_lr_points,best_median_lr,best_median_normalized_lr,best_median_final_ratio,median_first_target_iteration_at_best_lr,max_target_success_fraction,minimum_positive_gradient_norm_observed,maximum_gradient_norm_observed
jordan_quintic:steps=1:current_plus_eps:unrepaired,jordan_quintic,1,current_plus_eps,unrepaired,base_gain,0.0,1.0,3.4445,3.4445,0.5806357961968355,0.10514997047001773,0.10514997047001773,0.10514997047001773,1,0.07579273089036216,0.5204870989490936,0.06361454523915885,0.620127652791432,False,False,0.836782413915504,12,3.0,,True,73,0.5204870989490936,1.792817812330153,1.4692814831035198e-129,17.0,1.0,2.2227587494850775e-162,3.2153313259287657
jordan_quintic:steps=1:current_plus_eps:raw_grid_repair_1.02x,jordan_quintic,1,current_plus_eps,raw_grid_repair_1.02x,raised_gain,0.10725296987941808,1.0,3.4445,3.551752969879418,0.563102225002968,0.10514997047001773,0.10514997047001773,0.0,1,0.07579273089036216,0.5204870989490936,0.06361454523915885,0.620127652791432,False,False,0.836782413915504,12,3.0,,True,73,0.43685653905770555,1.5516065100094498,1.0046190279301949e-110,19.5,1.0,2.2227587494850775e-162,3.634515014736286
jordan_quintic:steps=1:current_plus_eps:gain_matched_grid_repair_1.02x,jordan_quintic,1,current_plus_eps,gain_matched_grid_repair_1.02x,base_gain,0.10725296987941808,0.9698028070113617,3.4445,3.4445,0.5806357961968355,0.10514997047001773,0.10514997047001773,0.0,1,0.07579273089036216,0.5204870989490936,0.06361454523915885,0.620127652791432,False,False,0.836782413915504,12,3.0,,True,73,0.5204870989490936,1.792817812330153,1.4068147153510854e-129,17.0,1.0,2.2227587494850775e-162,3.4924841196690233
jordan_quintic:steps=1:current_plus_eps:gain_only_unrepaired_control,jordan_quintic,1,current_plus_eps,gain_only_unrepaired_control,raised_gain,0.0,1.0311374567802056,3.4445,3.5517529698794186,0.5631022250029679,0.10514997047001773,0.10514997047001773,0.1084240731309678,1,0.07579273089036216,0.5204870989490936,0.06361454523915885,0.620127652791432,False,False,0.836782413915504,12,3.0,,True,73,0.43685653905770555,1.5516065100094498,1.0477610066967686e-110,19.5,1.0,2.2227587494850775e-162,3.3464605356480837
jordan_quintic:steps=1:fixed_scale:fixed_scale_control,jordan_quintic,1,fixed_scale,fixed_scale_control,fixed_scale,0.0,1.0,3.4445,3.4445,0.5806357961968355,,,,1,0.06361454523915885,0.5204870989490936,0.05339311987371051,0.620127652791432,False,False,0.9128535424532772,13,1.4888013042027184,1.7738131456325552,False,69,0.5204870989490936,1.792817812330153,6.12398484086351e-130,18.5,1.0,2.2227587494850775e-162,6102.207010403257
jordan_quintic:steps=2:current_plus_eps:unrepaired,jordan_quintic,2,current_plus_eps,unrepaired,base_gain,0.0,1.0,11.86458025,11.86458025,0.16856896391256657,2.569738365855982,2.569738365855982,2.569738365855982,1,0.04481404746557166,0.152725680740085,0.037613438866218936,0.1819630459804838,False,False,0.5324978997644116,8,3.0,,True,73,0.152725680740085,1.8120260953766179,2.9083869538059335e-130,26.5,1.0,2.2227587494850775e-162,3.623161395271912
jordan_quintic:steps=2:current_plus_eps:raw_grid_repair_1.02x,jordan_quintic,2,current_plus_eps,raw_grid_repair_1.02x,raised_gain,2.621133133173102,1.0,11.86458025,14.4857133831731,0.13806706974633645,2.569738365855982,2.569738365855982,0.0,1,0.022239737437781862,0.12818610191887025,0.01866631227985865,0.152725680740085,False,False,0.7607112853777309,11,0.7388431077985715,0.8802851082098913,False,65,0.10758948099317438,1.558510384711474,8.225411037950029e-111,23.5,1.0,2.2227587494850775e-162,16827.28415365484
jordan_quintic:steps=2:current_plus_eps:gain_matched_grid_repair_1.02x,jordan_quintic,2,current_plus_eps,gain_matched_grid_repair_1.02x,base_gain,2.621133133173102,0.819053914443878,11.86458025,11.86458025,0.16856896391256657,2.569738365855982,2.569738365855982,0.0,1,0.026497248834477422,0.152725680740085,0.022239737437781862,0.1819630459804838,False,False,0.7607112853777309,11,0.8802851082098913,1.0488043585396196,False,66,0.152725680740085,1.8120260953766179,1.192023028920617e-130,20.0,1.0,2.2227587494850775e-162,16604.60990388225
jordan_quintic:steps=2:current_plus_eps:gain_only_unrepaired_control,jordan_quintic,2,current_plus_eps,gain_only_unrepaired_control,raised_gain,0.0,1.2209208482679446,11.86458025,14.4857133831731,0.13806706974633645,2.569738365855982,2.569738365855982,3.137447145467567,1,0.037613438866218936,0.12818610191887025,0.031569805972774166,0.152725680740085,False,False,0.5324978997644116,8,3.0,,True,73,0.10758948099317438,1.558510384711474,1.9639166447527577e-110,31.0,1.0,2.2227587494850775e-162,4.590027444122808
jordan_quintic:steps=2:fixed_scale:fixed_scale_control,jordan_quintic,2,fixed_scale,fixed_scale_control,fixed_scale,0.0,1.0,11.86458025,11.86458025,0.16856896391256657,,,,1,0.04481404746557166,0.152725680740085,0.037613438866218936,0.1819630459804838,False,False,0.5324978997644116,8,1.0488043585396196,1.2495844496660804,False,67,0.152725680740085,1.8120260953766179,4.451611515656132e-130,26.5,1.0,2.2227587494850775e-162,7031.5713602170445
